Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.785213,0.012630594438427479,2.0,None,GUDB_24,GUDB_hand_bike,christov2004
250,0.723343,0.026413902034110863,2.0,None,GUDB_24,GUDB_jogging,christov2004
500,6.241469,0.0072136054866782295,8.093833333333333,None,USYD_00,USYD_run,christov2004
500,7.081714,0.001458993037071022,8.094766666666667,None,USYD_01,USYD_sit,christov2004
500,6.310143,0.0011161179812533895,8.0953,None,USYD_02,USYD_walk,christov2004
500,6.445784,0.0012435205200490348,8.2297,None,USYD_03,USYD_run,christov2004
500,6.487741,0.0014540331968760265,8.119566666666666,None,USYD_04,USYD_sit,christov2004
500,6.405963,0.00211550399461253,8.108866666666666,None,USYD_05,USYD_walk,christov2004
500,5.14792,0.4569031218616194,8.077866666666667,None,USYD_06,USYD_run,christov2004
500,6.518438,0.001471491130697323,8.098666666666666,None,USYD_07,USYD_sit,christov2004
500,5.223329,0.45228703028747647,8.096266666666667,None,USYD_08,USYD_walk,christov2004
500,5.26072,0.46951549273641935,8.103833333333334,None,USYD_09,USYD_run,christov2004
500,7.081679,0.018022734721948316,8.1182,None,USYD_10,USYD_sit,christov2004
500,6.529247,0.0016526898236574334,8.114633333333334,None,USYD_11,USYD_walk,christov2004
500,5.817234,0.6000262314300336,8.127033333333333,None,USYD_12,USYD_run,christov2004
500,6.736284,0.001345914078062919,8.2691,None,USYD_13,USYD_sit,christov2004
500,6.331154,0.11194009548681796,8.128033333333333,None,USYD_14,USYD_walk,christov2004
500,6.36427,0.0011060059341075552,8.2499,None,USYD_15,USYD_run,christov2004
500,5.316355,0.4492691469906292,8.072933333333333,None,USYD_16,USYD_sit,christov2004
500,6.306775,0.001319758937135387,8.076133333333333,None,USYD_17,USYD_walk,christov2004
500,5.340544,0.5914953445982281,8.2333,None,USYD_18,USYD_run,christov2004
500,6.714883,0.0027822765544043364,8.1331,None,USYD_19,USYD_sit,christov2004
500,6.545959,0.0023929893274339175,8.121166666666666,None,USYD_20,USYD_walk,christov2004
500,6.252669,0.0012221776406247625,8.081966666666666,None,USYD_21,USYD_run,christov2004
500,6.411667,0.0013168638871376996,8.097900000000001,None,USYD_22,USYD_sit,christov2004
500,6.318291,0.0014902164776862369,8.0847,None,USYD_23,USYD_walk,christov2004
500,6.344751,0.011218124482697515,8.070866666666667,None,USYD_24,USYD_run,christov2004
500,6.461693,0.0009176971573807103,8.075633333333334,None,USYD_25,USYD_sit,christov2004
500,7.878238,0.03590408235240464,8.087566666666667,None,USYD_26,USYD_walk,christov2004
500,6.267885,0.0012482770913791572,8.0793,None,USYD_27,USYD_run,christov2004
500,5.583817,0.41366028408863875,8.319799999999999,None,USYD_28,USYD_sit,christov2004
500,6.417441,0.0013467814658193536,8.208766666666667,None,USYD_29,USYD_walk,christov2004
500,5.13662,0.5175357290312216,8.1758,None,USYD_30,USYD_run,christov2004
500,6.763932,0.000623277157556268,8.467533333333334,None,USYD_31,USYD_sit,christov2004
500,6.213929,0.2851290363262615,8.196733333333333,None,USYD_32,USYD_walk,christov2004
500,6.46383,0.010563360659811652,8.289399999999999,None,USYD_33,USYD_run,christov2004
500,6.499546,0.0016051615026205536,8.257466666666666,None,USYD_34,USYD_sit,christov2004
500,6.347908,0.0033837431418060485,8.075333333333333,None,USYD_35,USYD_walk,christov2004
500,6.319631,0.0009389216896590919,8.0844,None,USYD_36,USYD_run,christov2004
500,5.176933,0.5497914323218425,8.1646,None,USYD_37,USYD_sit,christov2004
500,6.33489,0.0009229480161143454,8.106433333333333,None,USYD_38,USYD_walk,christov2004
500,6.326322,0.0018649258907524606,8.155866666666666,None,USYD_39,USYD_run,christov2004
500,6.365833,0.001095029451813601,8.0878,None,USYD_40,USYD_sit,christov2004
500,6.332706,0.0017024094732155499,8.0886,None,USYD_41,USYD_walk,christov2004
500,5.903257,0.04500775815233863,8.219266666666666,None,USYD_42,USYD_run,christov2004
500,6.247656,0.001683386681662062,8.206866666666667,None,USYD_43,USYD_sit,christov2004
500,6.15512,0.018010372212296306,8.2288,None,USYD_44,USYD_walk,christov2004
500,6.35212,0.005155829325747732,8.124233333333333,None,USYD_45,USYD_run,christov2004
500,6.57112,0.0014278001710913296,8.204966666666667,None,USYD_46,USYD_sit,christov2004
500,6.473665,0.0021607749588608153,8.219566666666667,None,USYD_47,USYD_walk,christov2004
500,5.269818,0.3943630048710822,8.1916,None,USYD_48,USYD_run,christov2004
500,6.49867,0.0006692629045912292,8.231866666666667,None,USYD_49,USYD_sit,christov2004
500,6.399849,0.08139130475524545,8.440033333333334,None,USYD_50,USYD_walk,christov2004
500,7.154022,0.0027109925481696674,9.188533333333334,None,USYD_51,USYD_run,christov2004
500,5.88916,0.27374612791350406,8.239866666666666,None,USYD_52,USYD_sit,christov2004
500,6.37632,0.0021628095406096017,8.194733333333334,None,USYD_53,USYD_walk,christov2004
500,6.552093,0.0018745360544093438,8.2906,None,USYD_54,USYD_run,christov2004
500,6.751459,0.0017019055286132663,8.316733333333334,None,USYD_55,USYD_sit,christov2004
500,5.526798,0.46904866683191804,8.589266666666667,None,USYD_56,USYD_walk,christov2004
500,5.326527,0.4852456640787395,8.287533333333334,None,USYD_57,USYD_run,christov2004
500,6.80253,0.0021183856556505408,8.433533333333333,None,USYD_58,USYD_sit,christov2004
500,6.011597,0.17819939208256547,8.1992,None,USYD_59,USYD_walk,christov2004
500,6.309724,0.003869330968120443,8.084766666666667,None,USYD_60,USYD_run,christov2004
500,6.655518,0.0012069526251520146,8.159,None,USYD_61,USYD_sit,christov2004
500,6.409336,0.004894842895738768,8.121566666666666,None,USYD_62,USYD_walk,christov2004
500,5.31692,0.47135192011095617,8.1415,None,USYD_63,USYD_run,christov2004
500,5.240909,0.5812986295153265,8.1139,None,USYD_64,USYD_sit,christov2004
500,5.091447,0.5547637643365366,8.124466666666667,None,USYD_65,USYD_walk,christov2004
256,14.75402,0.013478537475942944,37.44166666666667,None,IFADO_00,IFADO_SOT,christov2004
256,10.802291,0.2701458787753094,30.975,None,IFADO_01,IFADO_SOT,christov2004
256,15.63675,0.017805661240765037,39.61666666666667,None,IFADO_02,IFADO_SOT,christov2004
256,11.590061,0.10347758127648382,30.529166666666665,None,IFADO_03,IFADO_SOT,christov2004
256,12.35373,0.23233564462603962,33.3625,None,IFADO_04,IFADO_SOT,christov2004
256,11.643404,0.04975568458499148,29.616666666666667,None,IFADO_05,IFADO_SOT,christov2004
256,12.396162,0.002175785803314524,30.6625,None,IFADO_06,IFADO_SOT,christov2004
256,12.442172,0.25831896044574665,35.204166666666666,None,IFADO_07,IFADO_SOT,christov2004
256,12.742075,0.014186029327032893,31.916666666666668,None,IFADO_08,IFADO_SOT,christov2004
256,11.235606,0.31044465067339116,32.454166666666666,None,IFADO_09,IFADO_SOT,christov2004
256,12.115867,0.02424666793013148,31.104166666666668,None,IFADO_10,IFADO_SOT,christov2004
256,11.533952,0.01512632488254139,29.179166666666667,None,IFADO_11,IFADO_SOT,christov2004
256,13.942747,0.003954238365942338,35.733333333333334,None,IFADO_12,IFADO_SOT,christov2004
360,17.053199,0.0020294483586083918,30.092592592592595,None,MIT-Arrhythmia_00,MIT-Arrhythmia,christov2004
360,13.792588,0.7327496576551926,30.092592592592595,None,MIT-Arrhythmia_01,MIT-Arrhythmia,christov2004
360,21.05995,0.003327240957090708,30.092592592592595,None,MIT-Arrhythmia_02,MIT-Arrhythmia,christov2004
360,17.296894,0.0014441108724657626,30.092592592592595,None,MIT-Arrhythmia_03,MIT-Arrhythmia,christov2004
360,13.90474,0.5946218220336762,30.092592592592595,None,MIT-Arrhythmia_04,MIT-Arrhythmia,christov2004
360,16.958752,0.011857156233119535,30.092592592592595,None,MIT-Arrhythmia_05,MIT-Arrhythmia,christov2004
360,14.866717,0.4458556468394361,30.092592592592595,None,MIT-Arrhythmia_06,MIT-Arrhythmia,christov2004
360,16.123428,0.22123300562475706,30.092592592592595,None,MIT-Arrhythmia_07,MIT-Arrhythmia,christov2004
360,13.709335,0.7966394655915412,30.092592592592595,None,MIT-Arrhythmia_08,MIT-Arrhythmia,christov2004
360,4.537751,0.8352984802008296,10.0,None,MIT-Arrhythmia_08,MIT-Arrhythmia-x,christov2004
360,17.002166,0.004490655957996573,30.092592592592595,None,MIT-Arrhythmia_09,MIT-Arrhythmia,christov2004
360,5.593905,0.003473079444044982,10.0,None,MIT-Arrhythmia_09,MIT-Arrhythmia-x,christov2004
360,17.306505,0.01155488710310807,30.092592592592595,None,MIT-Arrhythmia_10,MIT-Arrhythmia,christov2004
360,5.720219,0.01100323856334841,10.0,None,MIT-Arrhythmia_10,MIT-Arrhythmia-x,christov2004
360,17.094773,0.001403266660958621,30.092592592592595,None,MIT-Arrhythmia_11,MIT-Arrhythmia,christov2004
360,5.669005,0.0012958018431946103,10.0,None,MIT-Arrhythmia_11,MIT-Arrhythmia-x,christov2004
360,17.36294,0.0017026810563082891,30.092592592592595,None,MIT-Arrhythmia_12,MIT-Arrhythmia,christov2004
360,5.819628,0.0023721238434132627,10.0,None,MIT-Arrhythmia_12,MIT-Arrhythmia-x,christov2004
360,18.088601,0.2578629650786003,30.092592592592595,None,MIT-Arrhythmia_13,MIT-Arrhythmia,christov2004
360,4.778266,0.7084475181627341,10.0,None,MIT-Arrhythmia_13,MIT-Arrhythmia-x,christov2004
360,17.429934,0.0013687563793688844,30.092592592592595,None,MIT-Arrhythmia_14,MIT-Arrhythmia,christov2004
360,5.827393,0.001989416972054575,10.0,None,MIT-Arrhythmia_14,MIT-Arrhythmia-x,christov2004
360,16.243134,0.1410969856758597,30.092592592592595,None,MIT-Arrhythmia_15,MIT-Arrhythmia,christov2004
360,5.745399,0.00315926817750503,10.0,None,MIT-Arrhythmia_15,MIT-Arrhythmia-x,christov2004
360,17.755928,0.0034966732957508284,30.092592592592595,None,MIT-Arrhythmia_16,MIT-Arrhythmia,christov2004
360,5.864786,0.004078413110572612,10.0,None,MIT-Arrhythmia_16,MIT-Arrhythmia-x,christov2004
360,13.79559,0.5792293985042687,30.092592592592595,None,MIT-Arrhythmia_17,MIT-Arrhythmia,christov2004
360,16.715344,0.004018486070227725,30.092592592592595,None,MIT-Arrhythmia_18,MIT-Arrhythmia,christov2004
360,17.587272,0.0021603280811912616,30.092592592592595,None,MIT-Arrhythmia_19,MIT-Arrhythmia,christov2004
360,5.90508,0.0021355413600543153,10.0,None,MIT-Arrhythmia_19,MIT-Arrhythmia-x,christov2004
360,17.179925,0.001574768150567255,30.092592592592595,None,MIT-Arrhythmia_20,MIT-Arrhythmia,christov2004
360,5.633647,0.002086913035642763,10.0,None,MIT-Arrhythmia_20,MIT-Arrhythmia-x,christov2004
360,13.785294,0.9915390132537296,30.092592592592595,None,MIT-Arrhythmia_21,MIT-Arrhythmia,christov2004
360,4.632255,0.9878924901790156,10.0,None,MIT-Arrhythmia_21,MIT-Arrhythmia-x,christov2004
360,17.571785,0.004561443941972741,30.092592592592595,None,MIT-Arrhythmia_22,MIT-Arrhythmia,christov2004
360,5.832941,0.003098987782573956,10.0,None,MIT-Arrhythmia_22,MIT-Arrhythmia-x,christov2004
360,17.897511,0.006473591024967207,30.092592592592595,None,MIT-Arrhythmia_23,MIT-Arrhythmia,christov2004
360,16.817151,0.039849199402202905,30.092592592592595,None,MIT-Arrhythmia_24,MIT-Arrhythmia,christov2004
